range / 1;coarse / 1;gain / 1;tune;freq / Hz;Urms(P32) / V;Urms(P40) / V;Urms(P53) / V;Urms(P58) / V;Uavg(P32) / V;Uavg(P40) / V;Uavg(P53) / V;Uavg(P58) / V
0;0;100;100;113684.54;0.0671997;0.06696837;0.1102187;1.249306;0.001719055;0.003397949;0.01396316;1.249431
0;0;100;611;113315.02;0.4121954;0.100753;0.1153851;1.212682;-0.0436792;-0.05946533;0.01401337;1.213646
0;0;100;1122;113120.98;0.7517667;0.100753;0.1140674;1.176501;-0.04086975;-0.0563208;0.01530106;1.172726
0;0;100;1633;112837.91;1.09251;0.09968513;0.1138443;1.148795;-0.0402008;-0.05786011;0.0153511;1.149114
0;0;100;2144;112555.01;1.435386;0.1000602;0.1122691;1.129073;-0.03839478;-0.05598633;0.0141806;1.128762
0;0;100;2655;112269.85;1.776654;0.1005669;0.1149669;1.087972;-0.03859558;-0.05571899;0.01628769;1.089314
0;0;100;3166;111984.83;2.11775;0.1002739;0.1124403;1.051347;-0.03759216;-0.05652222;0.01337799;1.051037
0;0;100;3677;111698.46;2.457399;0.1004072;0.1149102;1.01089;-0.03491638;-0.05859497;0.01824417;1.013445
0;0;611;100;112788.54;0.06734726;0.4029541;0.1134456;1.140381;0.001685608;0.001979981;0.02207352;1.139783
0;0;611;611;112466.2;0.4120785;0.4124808;0.1141553;1.109127;-0.04903015;-0.07672241;0.01364548;1.109181
0;0;611;1122;112229.43;0.7513537;0.4104455;0.1135517;1.085708;-0.04106995;-0.07638793;0.01687286;1.085535
0;0;611;1633;111948.6;1.095245;0.4086031;0.1089736;1.042053;-0.03772583;-0.07819458;0.01469894;1.039231
0;0;611;2144;111667.91;1.432911;0.407915;0.1150687;1.017309;-0.03893005;-0.07725708;0.01439804;1.017492
0;0;611;2655;111385;1.773941;0.4059556;0.114626;0.988498;-0.04113708;-0.07899658;0.02167221;0.9871069
0;0;611;3166;111102.24;2.111374;0.4041921;0.1256555;0.9596117;-0.03565247;-0.07745849;0.01635452;0.963913
0;0;611;3677;110818.15;2.453395;0.4025138;0.1102475;0.9100077;-0.03525085;-0.07892944;0.01528427;0.9097827
0;0;1122;100;111892.67;0.0673405;9.9E+037;0.1137856;1.041464;0.001518372;9.9E+037;0.0159198;1.047926
0;0;1122;611;111501.59;0.4127467;0.7456056;0.1101519;1.009424;-0.04555176;-0.08441528;0.01546829;1.009415
0;0;1122;1122;111338.06;0.7512861;0.7404671;0.1142681;0.9889334;-0.04240784;-0.0786621;0.01775925;0.9886789
0;0;1122;1633;111059.52;1.091699;0.7388575;0.122264;0.9598272;-0.04301025;-0.08207397;0.01245819;0.9523077
0;0;1122;2144;110781.14;1.429183;0.7339088;0.1161406;0.934049;-0.04033447;-0.08234131;0.00806015;0.9270737
0;0;1122;2655;110500.48;1.767255;0.7310486;0.1066485;0.8896027;-0.03685608;-0.08133789;0.01777588;0.8891137
0;0;1122;3166;110219.98;2.108778;0.7272875;0.1063298;0.8657998;-0.03578613;-0.08354492;0.01794311;0.8685116
0;0;1122;3677;109938.19;2.444225;0.7235032;0.1066093;0.8282303;-0.03444824;-0.08434814;0.01901337;0.8286788
0;0;1633;100;4.9291527;0.1083781;1.045056;0.110679;0.9359955;0.06923096;-0.01846191;0.01737457;0.9356857
0;0;1633;611;110650.74;0.4114352;1.083937;0.1135929;0.8910782;-0.0460199;-0.08153808;0.01551834;0.8934784
0;0;1633;1122;110445.46;0.751489;1.075081;0.1088339;0.869499;-0.04040161;-0.08080322;0.01665558;0.8700836
0;0;1633;1633;110169.18;1.08735;1.069297;0.1089015;0.8448423;-0.04086975;-0.07986572;0.01404678;0.8455185
0;0;1633;2144;109893.05;1.427538;1.061106;0.104782;0.8277325;-0.04040161;-0.07498291;0.01948166;0.827291
0;0;1633;2655;109614.71;1.764256;1.05868;0.1040228;0.7724016;-0.03913025;-0.07745849;0.01670563;0.7737961
0;0;1633;3166;109336.52;2.101264;1.052386;0.1108631;0.7495519;-0.03304321;-0.07852783;0.01613708;0.7493478
0;0;1633;3677;109057.05;2.435289;1.044618;0.104959;0.7200929;-0.03605347;-0.07846192;0.01553513;0.7200668
0;0;2144;100;110101.11;0.06696957;9.9E+037;0.1049159;0.8664473;0.003311035;9.9E+037;0.01568558;0.8616388
0;0;2144;611;109771.57;0.409277;1.412256;0.1051405;0.8295951;-0.0456189;-0.07846192;0.01384613;0.8315719
0;0;2144;1122;109555.56;0.7472151;1.401952;0.1071913;0.7973922;-0.04334472;-0.07511719;0.01530106;0.7971069
0;0;2144;1633;109281.55;1.083868;1.393692;0.1166706;0.768325;-0.04040161;-0.07531738;0.01428101;0.7673913
0;0;2144;2144;109007.67;1.41919;1.383157;0.1082963;0.7492794;-0.04093628;-0.07157227;0.01612045;0.749097
0;0;2144;2655;108731.64;1.757309;1.373866;0.1002305;0.7125056;-0.03565247;-0.07344482;0.01787628;0.7147155
0;0;2144;3166;108455.75;2.090729;1.367365;0.1098235;0.6879274;-0.03444824;-0.07324462;0.01968231;0.6870401
0;0;2144;3677;108178.58;2.42623;1.358701;0.1043326;0.648692;-0.03277588;-0.07498291;0.01185623;0.6482943
0;0;2655;100;109202.39;0.06664718;9.9E+037;0.1083349;0.738611;0.0001672363;9.9E+037;0.009849548;0.7362543
0;0;2655;611;108895.13;0.4086097;1.738139;0.1023111;0.7095357;-0.04595337;-0.07852783;0.01454849;0.7090634
0;0;2655;1122;108661.44;0.7447259;1.726261;0.1008791;0.686242;-0.0406018;-0.07832763;0.01715714;0.6862039
0;0;2655;1633;108389.71;1.080191;1.714786;0.1036878;0.6435855;-0.04066895;-0.07966553;0.01436462;0.6427759
0;0;2655;2144;108118.11;1.414442;1.705752;0.1035636;0.6289145;-0.03705689;-0.08187256;0.01367889;0.628428
0;0;2655;2655;107844.38;1.751237;1.693249;0.1033891;0.5909083;-0.03237488;-0.07732422;0.01520065;0.5922574
0;0;2655;3166;107570.82;2.086035;1.683384;0.1085215;0.5690299;-0.03652161;-0.08053467;0.01178925;0.5683612
